availability,best_player_count,bgg_url,date,duration_min,id,max_players,min_age,min_players,name,price,url,weight
En stock. Recíbelo en 24/48 horas,2,https://boardgamegeek.com/boardgame/323613/luna-capital,2022-06-25,45,323613,4,8,1,Luna Capital,31.45,https://jugamosotra.com/es/juegos/6970-luna-capital.html,2.1
En stock. Recíbelo en 24/48 horas,2,https://boardgamegeek.com/boardgame/278120/god-war-card-game,2022-06-25,180,278120,4,14,1,God of War El Juego de Cartas,27.94,https://jugamosotra.com/es/juegos/6972-god-of-war-el-juego-de-cartas.html,2.57
En stock. Recíbelo en 24/48 horas,1,https://boardgamegeek.com/boardgame/213444/tokyo-ghoul,2022-06-25,20,213444,8,14,4,Tokyo Ghoul: Bloody Masquerade,23.95,https://jugamosotra.com/es/juegos/6981-tokyo-ghoul-bloody-masquerade.html,2
En stock. Recíbelo en 24/48 horas,4,https://boardgamegeek.com/boardgame/251412/tour,2022-06-25,20,251412,4,7,1,On Tour,26.95,https://jugamosotra.com/es/juegos/6974-on-tour.html,1.47
En stock. Recíbelo en 24/48 horas,5,https://boardgamegeek.com/boardgame/201186/summit-board-game,2022-06-25,180,201186,6,14,1,La Cima + Expansión Yeti + promo,39.94,https://jugamosotra.com/es/juegos/6983-la-cima-expansion-yeti.html,2.31
En stock. Recíbelo en 24/48 horas,4,https://boardgamegeek.com/boardgame/243759/hellboy-board-game,2022-06-25,90,243759,4,14,1,Hellboy: el juego de tablero,62.95,https://jugamosotra.com/es/juegos/6986-hellboy-el-juego-de-tablero.html,2.92
En stock. Recíbelo en 24/48 horas,2,https://boardgamegeek.com/boardgame/306881/railroad-ink-challenge-lush-green-edition,2022-06-25,30,306881,4,8,1,Railroad Ink Challenge: Verde Exuberante,14.95,https://jugamosotra.com/es/juegos/7008-railroad-ink-challenge-verde-exuberante.html,2.11
En stock. Recíbelo en 24/48 horas,3,https://boardgamegeek.com/boardgame/306882/railroad-ink-challenge-shining-yellow-edition,2022-06-25,30,306882,4,8,1,Railroad Ink Challenge: Amarillo Brillante,14.95,https://jugamosotra.com/es/juegos/7009-railroad-ink-challenge-amarillo-brillante.html,2.08
En stock. Recíbelo en 24/48 horas,3,https://boardgamegeek.com/boardgameexpansion/229987/mansions-madness-second-edition-streets-arkham-exp,2022-06-25,180,229987,5,14,1,Las Mansiones de la Locura 2ª Ed: Calles de Arkham,69.95,https://jugamosotra.com/es/juegos/7032-las-mansiones-de-la-locura-2-ed-calles-de-arkham.html,2.67
En stock. Recíbelo en 24/48 horas,3,https://boardgamegeek.com/boardgameexpansion/210674/mansions-madness-second-edition-beyond-threshold-e,2022-06-25,180,210674,5,14,1,Las Mansiones de la Locura 2ª Ed: Más Allá del Umbral,32.95,https://jugamosotra.com/es/juegos/7033-las-mansiones-de-la-locura-2-ed-mas-alla-del-umbral.html,2.63
En stock. Recíbelo en 24/48 horas,3,https://boardgamegeek.com/boardgame/323612/bitoku,2022-06-25,120,323612,4,12,1,Bitoku,53.95,https://jugamosotra.com/es/juegos/7038-bitoku.html,3.72
En stock. Recíbelo en 24/48 horas,3,https://boardgamegeek.com/boardgame/342848/world-warcraft-wrath-lich-king,2022-06-25,60,342848,5,14,1,WORLD OF WARCRAFT: WRATH OF THE LICH KING,59.95,https://jugamosotra.com/es/juegos/7039-world-of-warcraft-wrath-of-the-lich-king.html,2.14
En stock. Recíbelo en 24/48 horas,2,https://boardgamegeek.com/boardgame/328908/initiative,2022-06-25,60,328908,4,8,1,La Iniciativa,59.95,https://jugamosotra.com/es/juegos/7041-la-iniciativa.html,1.89
En stock. Recíbelo en 24/48 horas,3,https://boardgamegeek.com/boardgame/266524/parks,2022-06-25,60,266524,5,10,1,Parks,44.95,https://jugamosotra.com/es/juegos/7043-parks.html,2.15
En stock. Recíbelo en 24/48 horas,3,https://boardgamegeek.com/boardgameexpansion/298729/parks-nightfall-expansion,2022-06-25,70,298729,5,10,1,Parks: Nightfall,22.45,https://jugamosotra.com/es/juegos/7044-parks-nightfall.html,2.28
